pos, club, country, part, titles, pld, w, d, l, f, a, pts, gd
108, KKS Lech Poznań, POL, 13, 0, 70, 28, 17, 25, 97, 79, 73, 18
109, AIK, SWE, 17, 0, 76, 27, 19, 30, 86, 78, 73, 8
110, FC Lokomotiv Moskva, RUS, 13, 0, 66, 29, 14, 23, 101, 91, 72, 10
111, FC Dinamo Moskva, RUS, 16, 0, 68, 27, 18, 23, 87, 93, 72, -6
112, Ipswich Town FC, ENG, 10, 1, 52, 30, 10, 12, 98, 53, 70, 45
113, FC Rubin, RUS, 8, 0, 56, 27, 16, 13, 83, 48, 70, 35
114, Wisła Kraków, POL, 13, 0, 64, 27, 16, 21, 107, 80, 70, 27
115, Fehérvár FC, HUN, 15, 0, 74, 26, 18, 30, 78, 83, 70, -5
116, Manchester City FC, ENG, 8, 0, 52, 28, 13, 11, 84, 51, 69, 33
117, FC Metalist Kharkiv, UKR, 7, 0, 58, 28, 13, 17, 81, 51, 69, 30
