Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Sat,2019-06-22,19:00 (04:00),Vancouver,2–2,Colorado,19893,BC Place Stadium,Fotis Bazakos,Match Report,
Sat,2019-06-22,19:30 (01:30),FC Cincinnati,0–2,LA Galaxy,32250,Nippert Stadium,Marcos de Oliveira,Match Report,
Sat,2019-06-22,20:00 (05:00),Portland,4–0,Houston,25218,Providence Park,Alan Kelly,Match Report,
Sun,2019-06-23,17:30 (23:30),Columbus,0–1,Sporting KC,14015,MAPFRE Stadium,Allen Chapman,Match Report,
Wed,2019-06-26,19:00 (01:00),New England,1–1,Philadelphia,11571,Gillette Stadium,Nima Saghafi,Match Report,
Wed,2019-06-26,19:30 (01:30),Montreal,2–1,Portland,15167,Stade Saputo,Rubiel Vazquez,Match Report,
Wed,2019-06-26,19:30 (04:30),San Jose,2–0,Houston,15563,Avaya Stadium,Robert Sibiga,Match Report,
Wed,2019-06-26,20:00 (03:00),Dallas,2–2,Vancouver,11911,Toyota Stadium,Silviu Petrescu,Match Report,
Wed,2019-06-26,20:00 (02:00),Toronto FC,3–2,Atlanta,24598,BMO Field,Alan Kelly,Match Report,
Wed,2019-06-26,20:00 (02:00),D.C. United,1–0,Orlando City,17398,Audi Field,Alex Chilowicz,Match Report,
Fri,2019-06-28,20:00 (02:00),NY Red Bulls,3–1,Chicago,17563,Red Bull Arena,Ted Unkel,Match Report,
Fri,2019-06-28,20:00 (04:00),Colorado,1–0,Los Angeles FC,15968,Dick's Sporting Goods Park,Dave Gantar,Match Report,
Sat,2019-06-29,15:00 (22:00),Minnesota,7–1,FC Cincinnati,19778,Allianz Field,Joe Dickerson,Match Report,
Sat,2019-06-29,18:00 (00:00),Atlanta,2–1,Montreal,44627,Mercedes-Benz Stadium,Ramy Touchan,Match Report,
Sat,2019-06-29,19:00 (01:00),NYCFC,4–2,Philadelphia,24451,Yankee Stadium,Alex Chilowicz,Match Report,
Sat,2019-06-29,19:00 (04:00),Seattle,1–0,Vancouver,44489,CenturyLink Field,Alan Kelly,Match Report,
Sat,2019-06-29,19:00 (04:00),San Jose,3–0,LA Galaxy,50850,Stanford Stadium,Kevin Stott,Match Report,
Sat,2019-06-29,19:30 (01:30),New England,2–1,Houston,17372,Gillette Stadium,Silviu Petrescu,Match Report,
Sat,2019-06-29,19:30 (01:30),Columbus,0–2,Orlando City,17715,MAPFRE Stadium,Rubiel Vazquez,Match Report,
Sat,2019-06-29,20:00 (04:00),Real Salt Lake,2–0,Sporting KC,18933,Rio Tinto Stadium,Nima Saghafi,Match Report,
Sat,2019-06-29,20:00 (02:00),D.C. United,1–1,Toronto FC,18854,Audi Field,Robert Sibiga,Match Report,
Sun,2019-06-30,20:00 (05:00),Portland,1–0,Dallas,25218,Providence Park,Allen Chapman,Match Report,
Wed,2019-07-03,19:00 (02:00),Chicago,5–1,Atlanta,13476,SeatGeek Stadium,Silviu Petrescu,Match Report,
Wed,2019-07-03,19:00 (01:00),NYCFC,3–0,Seattle,18217,Yankee Stadium,Rubiel Vazquez,Match Report,
Wed,2019-07-03,19:00 (02:00),Minnesota,3–1,San Jose,19653,Allianz Field,Marcos de Oliveira,Match Report,
Wed,2019-07-03,19:30 (01:30),Orlando City,1–3,Philadelphia,22364,Orlando City Stadium,Chris Penso,Match Report,
Wed,2019-07-03,19:30 (02:30),Sporting KC,1–5,Los Angeles FC,19754,Children's Mercy Park,Kevin Stott,Match Report,
Wed,2019-07-03,20:00 (04:00),Real Salt Lake,1–0,Columbus,19030,Rio Tinto Stadium,Victor Rivas,Match Report,
