Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
15,Sun,2020-01-05,,Boavista,,Portimonense,,Estádio do Bessa Século XXI,,,
15,Sun,2020-01-05,,Vitória,,Benfica,,Estádio Dom Afonso Henriques,,,
15,Sun,2020-01-05,,Famalicão,,Vitória Setúbal,,Estádio Municipal 22 de Junho,,,
15,Sun,2020-01-05,,Belenenses,,Braga,,Estádio Nacional,,,
15,Sun,2020-01-05,,Aves,,CD Santa Clara,,Estádio Clube Desportivo das Aves,,,
,,,,,,,,,,,
16,Sat,2020-01-11,,Portimonense,,Paços,,Estádio do Portimonense SC,,,
16,Sat,2020-01-11,,Benfica,,Aves,,Estádio do Sport Lisboa e Benfica,,,
16,Sat,2020-01-11,,Gil Vicente FC,,Belenenses,,Estádio Cidade de Barcelos,,,
16,Sat,2020-01-11,,Boavista,,Famalicão,,Estádio do Bessa Século XXI,,,
16,Sat,2020-01-11,,Vitória Setúbal,,Sporting CP,,Estádio do Bonfim,,,
16,Sat,2020-01-11,,CD Santa Clara,,Rio Ave,,Estádio de São Miguel,,,
16,Sat,2020-01-11,,Braga,,Tondela,,Estádio Municipal de Braga,,,
16,Sat,2020-01-11,,Moreirense,,Porto,,P.D. Comendador Joaquim de Almeida Freit...,,,
16,Sat,2020-01-11,,Marítimo,,Vitória,,Estádio dos Barreiros,,,
,,,,,,,,,,,
17,Sat,2020-01-18,,Vitória,,CD Santa Clara,,Estádio Dom Afonso Henriques,,,
17,Sat,2020-01-18,,Paços,,Gil Vicente FC,,Estádio da Capital do Móvel,,,
17,Sat,2020-01-18,,Famalicão,,Marítimo,,Estádio Municipal 22 de Junho,,,
17,Sat,2020-01-18,,Tondela,,Moreirense,,Estádio João Cardoso,,,
17,Sat,2020-01-18,,Porto,,Braga,,Estádio Do Dragão,,,
17,Sat,2020-01-18,,Belenenses,,Vitória Setúbal,,Estádio Nacional,,,
17,Sat,2020-01-18,,Rio Ave,,Boavista,,Estádio do Rio Ave Futebol Clube,,,
17,Sat,2020-01-18,,Sporting CP,,Benfica,,Estádio José Alvalade,,,
17,Sat,2020-01-18,,Aves,,Portimonense,,Estádio Clube Desportivo das Aves,,,
,,,,,,,,,,,
18,Sun,2020-01-26,,Aves,,Boavista,,Estádio Clube Desportivo das Aves,,,
18,Sun,2020-01-26,,Vitória,,Rio Ave,,Estádio Dom Afonso Henriques,,,
18,Sun,2020-01-26,,Belenenses,,Portimonense,,Estádio Nacional,,,
18,Sun,2020-01-26,,Sporting CP,,Marítimo,,Estádio José Alvalade,,,
18,Sun,2020-01-26,,Tondela,,Vitória Setúbal,,Estádio João Cardoso,,,
18,Sun,2020-01-26,,Famalicão,,CD Santa Clara,,Estádio Municipal 22 de Junho,,,
18,Sun,2020-01-26,,Paços,,Benfica,,Estádio da Capital do Móvel,,,
18,Sun,2020-01-26,,Moreirense,,Braga,,P.D. Comendador Joaquim de Almeida Freit...,,,
18,Sun,2020-01-26,,Porto,,Gil Vicente FC,,Estádio Do Dragão,,,
,,,,,,,,,,,
19,Sun,2020-02-02,,Marítimo,,Aves,,Estádio dos Barreiros,,,
19,Sun,2020-02-02,,Gil Vicente FC,,Moreirense,,Estádio Cidade de Barcelos,,,
19,Sun,2020-02-02,,CD Santa Clara,,Paços,,Estádio de São Miguel,,,
19,Sun,2020-02-02,,Rio Ave,,Famalicão,,Estádio do Rio Ave Futebol Clube,,,
19,Sun,2020-02-02,,Portimonense,,Tondela,,Estádio do Portimonense SC,,,
19,Sun,2020-02-02,,Boavista,,Vitória,,Estádio do Bessa Século XXI,,,
19,Sun,2020-02-02,,Braga,,Sporting CP,,Estádio Municipal de Braga,,,
19,Sun,2020-02-02,,Vitória Setúbal,,Porto,,Estádio do Bonfim,,,
19,Sun,2020-02-02,,Benfica,,Belenenses,,Estádio do Sport Lisboa e Benfica,,,
,,,,,,,,,,,
20,Sun,2020-02-09,,Paços,,Boavista,,Estádio da Capital do Móvel,,,
20,Sun,2020-02-09,,Belenenses,,CD Santa Clara,,Estádio Nacional,,,
20,Sun,2020-02-09,,Tondela,,Marítimo,,Estádio João Cardoso,,,
20,Sun,2020-02-09,,Moreirense,,Vitória Setúbal,,P.D. Comendador Joaquim de Almeida Freit...,,,
20,Sun,2020-02-09,,Braga,,Gil Vicente FC,,Estádio Municipal de Braga,,,
