Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
8,Sun,2019-09-01,18:00 (02:00),FC Juárez,1–0,Monterrey,,Estadio Olímpico Benito Juárez,Alfredo Peñaloza,Match Report,
,,,,,,,,,,,
9,Fri,2019-09-13,19:00 (02:00),Puebla,,Atlético,,Estadio Cuauhtémoc,,,
9,Fri,2019-09-13,19:06 (04:06),Tijuana,,UANL,,Estadio Caliente,,,
9,Fri,2019-09-13,21:00 (04:00),Veracruz,,Cruz Azul,,Estadio Luis de la Fuente,,,
9,Sat,2019-09-14,17:00 (00:00),Monterrey,,Necaxa,,Estadio BBVA Bancomer,,,
9,Sat,2019-09-14,19:00 (02:00),León,,FC Juárez,,Estadio León,,,
9,Sat,2019-09-14,19:00 (02:00),Guadalajara,,Atlas,,Estadio Akron,,,
9,Sat,2019-09-14,21:00 (04:00),América,,UNAM,,Estadio Azteca,,,
9,Sun,2019-09-15,12:00 (19:00),Toluca,,Morelia,,Estadio Nemesio Díez,,,
9,Sun,2019-09-15,18:45 (01:45),Santos,,Pachuca,,Estadio Nuevo Corona,,,
,,,,,,,,,,,
10,Fri,2019-09-20,21:00 (04:00),Atlas,,Toluca,,Estadio Jalisco,,,
10,Fri,2019-09-20,21:00 (04:00),Morelia,,Guadalajara,,Estadio Generalísimo José María Morelos ...,,,
10,Sat,2019-09-21,17:00 (00:00),Monterrey,,Puebla,,Estadio BBVA Bancomer,,,
10,Sat,2019-09-21,17:00 (00:00),Atlético,,Santos,,Estadio Alfonso Lastras Ramírez,,,
10,Sat,2019-09-21,17:00 (00:00),Necaxa,,León,,Estadio Victoria de Aguascalientes,,,
10,Sat,2019-09-21,19:00 (02:00),Pachuca,,Tijuana,,Estadio Hidalgo,,,
10,Sat,2019-09-21,21:00 (04:00),América,,Querétaro,,Estadio Azteca,,,
10,Sun,2019-09-22,12:00 (19:00),UNAM,,Cruz Azul,,Estadio Olímpico de Universitario,,,
10,Sun,2019-09-22,18:00 (02:00),FC Juárez,,Veracruz,,Estadio Olímpico Benito Juárez,,,
,,,,,,,,,,,
11,Tue,2019-09-24,19:00 (02:00),Querétaro,,Necaxa,,Estadio La Corregidora,,,
11,Tue,2019-09-24,19:00 (02:00),UANL,,Puebla,,Estadio Universitario de Nuevo León,,,
11,Tue,2019-09-24,21:00 (04:00),León,,Atlas,,Estadio León,,,
11,Tue,2019-09-24,21:00 (04:00),Guadalajara,,Pachuca,,Estadio Akron,,,
11,Wed,2019-09-25,18:00 (02:00),FC Juárez,,América,,Estadio Olímpico Benito Juárez,,,
11,Wed,2019-09-25,19:00 (02:00),Santos,,Veracruz,,Estadio Nuevo Corona,,,
11,Wed,2019-09-25,19:06 (04:06),Tijuana,,Morelia,,Estadio Caliente,,,
11,Wed,2019-09-25,21:05 (04:05),Cruz Azul,,Monterrey,,Estadio Azteca,,,
11,Thu,2019-09-26,20:00 (03:00),Toluca,,Atlético,,Estadio Nemesio Díez,,,
,,,,,,,,,,,
12,Fri,2019-09-27,19:00 (02:00),Puebla,,León,,Estadio Cuauhtémoc,,,
12,Fri,2019-09-27,21:00 (04:00),Atlas,,Querétaro,,Estadio Jalisco,,,
12,Sat,2019-09-28,17:00 (00:00),Pachuca,,Cruz Azul,,Estadio Hidalgo,,,
12,Sat,2019-09-28,19:00 (02:00),Monterrey,,UANL,,Estadio BBVA Bancomer,,,
12,Sat,2019-09-28,19:00 (02:00),Necaxa,,FC Juárez,,Estadio Victoria de Aguascalientes,,,
12,Sat,2019-09-28,21:05 (04:05),América,,Guadalajara,,Estadio Azteca,,,
12,Sun,2019-09-29,12:00 (19:00),UNAM,,Santos,,Estadio Olímpico de Universitario,,,
12,Sun,2019-09-29,17:00 (00:00),Atlético,,Tijuana,,Estadio Alfonso Lastras Ramírez,,,
12,Sun,2019-09-29,19:00 (02:00),Veracruz,,Toluca,,Estadio Luis de la Fuente,,,
,,,,,,,,,,,
13,Fri,2019-10-04,17:00 (02:00),Tijuana,,Atlas,,Estadio Caliente,,,
13,Fri,2019-10-04,21:00 (04:00),Morelia,,Necaxa,,Estadio Generalísimo José María Morelos ...,,,
13,Sat,2019-10-05,17:00 (00:00),León,,Veracruz,,Estadio León,,,
13,Sat,2019-10-05,19:00 (02:00),Cruz Azul,,América,,Estadio Azteca,,,
13,Sat,2019-10-05,21:00 (04:00),Guadalajara,,UNAM,,Estadio Akron,,,
13,Sat,2019-10-05,21:00 (04:00),UANL,,Santos,,Estadio Universitario de Nuevo León,,,
13,Sun,2019-10-06,12:00 (19:00),Toluca,,Puebla,,Estadio Nemesio Díez,,,
13,Sun,2019-10-06,17:00 (01:00),FC Juárez,,Atlético,,Estadio Olímpico Benito Juárez,,,
