Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
19,Sun,2020-02-02,,Racing Club,,Independiente,,,,,
19,Sun,2020-02-02,,Newell's OB,,Estudiantes,,,,,
19,Sun,2020-02-02,,Banfield,,Rosario Cent,,,,,
19,Sun,2020-02-02,,Aldosivi,,CC Córdoba,,,,,
19,Sun,2020-02-02,,Argentinos Jun,,Lanús,,,,,
19,Sun,2020-02-02,,Gimnasia ELP,,Patronato,,,,,
,,,,,,,,,,,
20,Sun,2020-02-09,,Talleres,,San Lorenzo,,,,,
20,Sun,2020-02-09,,Independiente,,Arsenal,,,,,
20,Sun,2020-02-09,,Colón,,Racing Club,,,,,
20,Sun,2020-02-09,,CA Huracán,,Aldosivi,,,,,
20,Sun,2020-02-09,,Vélez Sarsf,,Godoy Cruz,,,,,
20,Sun,2020-02-09,,Rosario Cent,,Gimnasia ELP,,,,,
20,Sun,2020-02-09,,Patronato,,CA Unión,,,,,
20,Sun,2020-02-09,,River Plate,,Banfield,,,,,
20,Sun,2020-02-09,,Estudiantes,,Defensa y Just,,,,,
20,Sun,2020-02-09,,Tucumán,,Argentinos Jun,,,,,
20,Sun,2020-02-09,,Lanús,,Newell's OB,,,,,
20,Sun,2020-02-09,,CC Córdoba,,Boca Juniors,,,,,
,,,,,,,,,,,
21,Sun,2020-02-16,,Newell's OB,,Colón,,,,,
21,Sun,2020-02-16,,Argentinos Jun,,Patronato,,,,,
21,Sun,2020-02-16,,Arsenal,,Vélez Sarsf,,,,,
21,Sun,2020-02-16,,Banfield,,Aldosivi,,,,,
21,Sun,2020-02-16,,Independiente,,Gimnasia ELP,,,,,
21,Sun,2020-02-16,,Estudiantes,,River Plate,,,,,
21,Sun,2020-02-16,,Talleres,,CA Huracán,,,,,
21,Sun,2020-02-16,,Tucumán,,Lanús,,,,,
21,Sun,2020-02-16,,San Lorenzo,,Racing Club,,,,,
21,Sun,2020-02-16,,Defensa y Just,,Rosario Cent,,,,,
21,Sun,2020-02-16,,Boca Juniors,,Godoy Cruz,,,,,
21,Sun,2020-02-16,,CA Unión,,CC Córdoba,,,,,
,,,,,,,,,,,
22,Sun,2020-02-23,,Vélez Sarsf,,Argentinos Jun,,,,,
22,Sun,2020-02-23,,Aldosivi,,San Lorenzo,,,,,
22,Sun,2020-02-23,,Gimnasia ELP,,Tucumán,,,,,
22,Sun,2020-02-23,,Racing Club,,Newell's OB,,,,,
22,Sun,2020-02-23,,Rosario Cent,,Arsenal,,,,,
22,Sun,2020-02-23,,Lanús,,Estudiantes,,,,,
22,Sun,2020-02-23,,Godoy Cruz,,CA Unión,,,,,
22,Sun,2020-02-23,,Patronato,,Talleres,,,,,
22,Sun,2020-02-23,,Colón,,Boca Juniors,,,,,
22,Sun,2020-02-23,,CC Córdoba,,Banfield,,,,,
22,Sun,2020-02-23,,CA Huracán,,Independiente,,,,,
22,Sun,2020-02-23,,River Plate,,Defensa y Just,,,,,
,,,,,,,,,,,
23,Sun,2020-03-01,,Estudiantes,,Racing Club,,,,,
23,Sun,2020-03-01,,Arsenal,,Aldosivi,,,,,
23,Sun,2020-03-01,,Newell's OB,,Godoy Cruz,,,,,
23,Sun,2020-03-01,,Boca Juniors,,Gimnasia ELP,,,,,
23,Sun,2020-03-01,,Independiente,,CC Córdoba,,,,,
23,Sun,2020-03-01,,Banfield,,CA Huracán,,,,,
23,Sun,2020-03-01,,San Lorenzo,,Lanús,,,,,
23,Sun,2020-03-01,,Argentinos Jun,,Rosario Cent,,,,,
23,Sun,2020-03-01,,Tucumán,,River Plate,,,,,
23,Sun,2020-03-01,,CA Unión,,Vélez Sarsf,,,,,
23,Sun,2020-03-01,,Defensa y Just,,Patronato,,,,,
23,Sun,2020-03-01,,Talleres,,Colón,,,,,
