Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
17,Sat,2020-01-25,,Kaposvári,,Puskás,,,,,
17,Sat,2020-01-25,,Zalaegerszeg,,Diósgyőr,,,,,
,,,,,,,,,,,
18,Sat,2020-02-01,,Diósgyőr,,Kaposvári,,,,,
18,Sat,2020-02-01,,Kisvárda,,Ferencváros,,,,,
18,Sat,2020-02-01,,Puskás,,Debrecen,,,,,
18,Sat,2020-02-01,,Honvéd,,Mezőkövesd,,,,,
18,Sat,2020-02-01,,Paks,,Zalaegerszeg,,,,,
18,Sat,2020-02-01,,Újpest,,Fehérvár,,,,,
,,,,,,,,,,,
19,Sat,2020-02-08,,Debrecen,,Fehérvár,,,,,
19,Sat,2020-02-08,,Mezőkövesd,,Újpest,,,,,
19,Sat,2020-02-08,,Ferencváros,,Honvéd,,,,,
19,Sat,2020-02-08,,Zalaegerszeg,,Kisvárda,,,,,
19,Sat,2020-02-08,,Puskás,,Diósgyőr,,,,,
19,Sat,2020-02-08,,Kaposvári,,Paks,,,,,
,,,,,,,,,,,
20,Sat,2020-02-08,,Diósgyőr,,Debrecen,,,,,
20,Sat,2020-02-08,,Kisvárda,,Kaposvári,,,,,
20,Sat,2020-02-08,,Paks,,Puskás,,,,,
20,Sat,2020-02-08,,Fehérvár,,Mezőkövesd,,,,,
20,Sat,2020-02-08,,Honvéd,,Zalaegerszeg,,,,,
20,Sat,2020-02-08,,Újpest,,Ferencváros,,,,,
,,,,,,,,,,,
21,Sat,2020-02-15,,Kaposvári,,Honvéd,,,,,
21,Sat,2020-02-15,,Diósgyőr,,Paks,,,,,
21,Sat,2020-02-15,,Debrecen,,Mezőkövesd,,,,,
21,Sat,2020-02-15,,Zalaegerszeg,,Újpest,,,,,
21,Sat,2020-02-15,,Ferencváros,,Fehérvár,,,,,
21,Sat,2020-02-15,,Puskás,,Kisvárda,,,,,
,,,,,,,,,,,
22,Sat,2020-02-22,,Mezőkövesd,,Ferencváros,,,,,
22,Sat,2020-02-22,,Kisvárda,,Diósgyőr,,,,,
22,Sat,2020-02-22,,Paks,,Debrecen,,,,,
22,Sat,2020-02-22,,Újpest,,Kaposvári,,,,,
22,Sat,2020-02-22,,Honvéd,,Puskás,,,,,
22,Sat,2020-02-22,,Fehérvár,,Zalaegerszeg,,,,,
,,,,,,,,,,,
23,Sat,2020-02-29,,Honvéd,,Diósgyőr,,,,,
23,Sat,2020-02-29,,Kisvárda,,Paks,,,,,
23,Sat,2020-02-29,,Újpest,,Puskás,,,,,
23,Sat,2020-02-29,,Mezőkövesd,,Zalaegerszeg,,,,,
23,Sat,2020-02-29,,Fehérvár,,Kaposvári,,,,,
23,Sat,2020-02-29,,Ferencváros,,Debrecen,,,,,
,,,,,,,,,,,
24,Sat,2020-03-07,,Debrecen,,Kisvárda,,,,,
24,Sat,2020-03-07,,Diósgyőr,,Újpest,,,,,
24,Sat,2020-03-07,,Paks,,Honvéd,,,,,
24,Sat,2020-03-07,,Kaposvári,,Mezőkövesd,,,,,
24,Sat,2020-03-07,,Zalaegerszeg,,Ferencváros,,,,,
24,Sat,2020-03-07,,Puskás,,Fehérvár,,,,,
,,,,,,,,,,,
25,Sat,2020-03-14,,Ferencváros,,Kaposvári,,,,,
25,Sat,2020-03-14,,Mezőkövesd,,Puskás,,,,,
25,Sat,2020-03-14,,Honvéd,,Kisvárda,,,,,
25,Sat,2020-03-14,,Újpest,,Paks,,,,,
25,Sat,2020-03-14,,Debrecen,,Zalaegerszeg,,,,,
25,Sat,2020-03-14,,Fehérvár,,Diósgyőr,,,,,
,,,,,,,,,,,
26,Sat,2020-03-21,,Honvéd,,Debrecen,,,,,
26,Sat,2020-03-21,,Diósgyőr,,Mezőkövesd,,,,,
26,Sat,2020-03-21,,Puskás,,Ferencváros,,,,,
26,Sat,2020-03-21,,Kisvárda,,Újpest,,,,,
26,Sat,2020-03-21,,Paks,,Fehérvár,,,,,
26,Sat,2020-03-21,,Kaposvári,,Zalaegerszeg,,,,,
,,,,,,,,,,,
27,Sat,2020-04-04,,Újpest,,Honvéd,,,,,
27,Sat,2020-04-04,,Mezőkövesd,,Paks,,,,,
27,Sat,2020-04-04,,Zalaegerszeg,,Puskás,,,,,
27,Sat,2020-04-04,,Fehérvár,,Kisvárda,,,,,
27,Sat,2020-04-04,,Ferencváros,,Diósgyőr,,,,,
27,Sat,2020-04-04,,Debrecen,,Kaposvári,,,,,
,,,,,,,,,,,
28,Sat,2020-04-11,,Puskás,,Kaposvári,,,,,
28,Sat,2020-04-11,,Diósgyőr,,Zalaegerszeg,,,,,
28,Sat,2020-04-11,,Honvéd,,Fehérvár,,,,,
28,Sat,2020-04-11,,Kisvárda,,Mezőkövesd,,,,,
28,Sat,2020-04-11,,Újpest,,Debrecen,,,,,
28,Sat,2020-04-11,,Paks,,Ferencváros,,,,,
,,,,,,,,,,,
29,Sat,2020-04-18,,Kaposvári,,Diósgyőr,,,,,
29,Sat,2020-04-18,,Ferencváros,,Kisvárda,,,,,
29,Sat,2020-04-18,,Fehérvár,,Újpest,,,,,
29,Sat,2020-04-18,,Mezőkövesd,,Honvéd,,,,,
29,Sat,2020-04-18,,Zalaegerszeg,,Paks,,,,,
29,Sat,2020-04-18,,Debrecen,,Puskás,,,,,
,,,,,,,,,,,
30,Sat,2020-04-25,,Fehérvár,,Debrecen,,,,,
30,Sat,2020-04-25,,Újpest,,Mezőkövesd,,,,,
30,Sat,2020-04-25,,Honvéd,,Ferencváros,,,,,
30,Sat,2020-04-25,,Paks,,Kaposvári,,,,,
30,Sat,2020-04-25,,Diósgyőr,,Puskás,,,,,
30,Sat,2020-04-25,,Kisvárda,,Zalaegerszeg,,,,,
,,,,,,,,,,,
31,Sat,2020-05-02,,Zalaegerszeg,,Honvéd,,,,,
31,Sat,2020-05-02,,Kaposvári,,Kisvárda,,,,,
31,Sat,2020-05-02,,Puskás,,Paks,,,,,
31,Sat,2020-05-02,,Ferencváros,,Újpest,,,,,
31,Sat,2020-05-02,,Debrecen,,Diósgyőr,,,,,
31,Sat,2020-05-02,,Mezőkövesd,,Fehérvár,,,,,
,,,,,,,,,,,
32,Sat,2020-05-09,,Fehérvár,,Ferencváros,,,,,
32,Sat,2020-05-09,,Mezőkövesd,,Debrecen,,,,,
32,Sat,2020-05-09,,Kisvárda,,Puskás,,,,,
32,Sat,2020-05-09,,Újpest,,Zalaegerszeg,,,,,
32,Sat,2020-05-09,,Honvéd,,Kaposvári,,,,,
32,Sat,2020-05-09,,Paks,,Diósgyőr,,,,,
,,,,,,,,,,,
33,Sat,2020-05-16,,Kaposvári,,Újpest,,,,,
33,Sat,2020-05-16,,Puskás,,Honvéd,,,,,
33,Sat,2020-05-16,,Zalaegerszeg,,Fehérvár,,,,,
33,Sat,2020-05-16,,Ferencváros,,Mezőkövesd,,,,,
33,Sat,2020-05-16,,Debrecen,,Paks,,,,,
33,Sat,2020-05-16,,Diósgyőr,,Kisvárda,,,,,
