Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
14,Fri,2019-11-01,,Club Brugge,,Kortrijk,,Jan Breydelstadion,,,
14,Fri,2019-11-01,,Eupen,,Genk,,Stadion am Kehrweg,,,
14,Fri,2019-11-01,,Anderlecht,,Cercle Brugge,,Stade Constant Vanden Stock,,,
14,Fri,2019-11-01,,Waasland-Bev,,Zulte Waregem,,Freethiel-Stadion,,,
14,Fri,2019-11-01,,Excel Mouscron,,Antwerp,,Stade Le Canonnier,,,
14,Fri,2019-11-01,,Mechelen,,Charleroi,,AFAS-stadion Achter de Kazerne,,,
,,,,,,,,,,,
15,Fri,2019-11-08,,Standard Liège,,Mechelen,,Stade Maurice Dufrasne,,,
15,Fri,2019-11-08,,Antwerp,,Club Brugge,,Bosuilstadion,,,
15,Fri,2019-11-08,,Genk,,Gent,,Luminus Arena,,,
15,Fri,2019-11-08,,Zulte Waregem,,Anderlecht,,Regenboogstadion,,,
15,Fri,2019-11-08,,Oostende,,Excel Mouscron,,Versluys Arena,,,
15,Fri,2019-11-08,,Kortrijk,,Waasland-Bev,,Guldensporenstadion,,,
15,Fri,2019-11-08,,Charleroi,,Eupen,,Stade du Pays de Charleroi,,,
15,Fri,2019-11-08,,Cercle Brugge,,Sint-Truiden,,Jan Breydelstadion,,,
,,,,,,,,,,,
5,Thu,2019-11-21,20:30,Antwerp,,Gent,,Bosuilstadion,,,
,,,,,,,,,,,
16,Fri,2019-11-22,,Anderlecht,,Kortrijk,,Stade Constant Vanden Stock,,,
16,Fri,2019-11-22,,Excel Mouscron,,Genk,,Stade Le Canonnier,,,
16,Fri,2019-11-22,,Mechelen,,Zulte Waregem,,AFAS-stadion Achter de Kazerne,,,
16,Fri,2019-11-22,,Eupen,,Standard Liège,,Stadion am Kehrweg,,,
16,Fri,2019-11-22,,Gent,,Antwerp,,GHELAMCO-arena,,,
16,Fri,2019-11-22,,Waasland-Bev,,Cercle Brugge,,Freethiel-Stadion,,,
16,Fri,2019-11-22,,Club Brugge,,Oostende,,Jan Breydelstadion,,,
16,Fri,2019-11-22,,Sint-Truiden,,Charleroi,,Stayen,,,
,,,,,,,,,,,
17,Fri,2019-11-29,,Antwerp,,Mechelen,,Bosuilstadion,,,
17,Fri,2019-11-29,,Oostende,,Anderlecht,,Versluys Arena,,,
17,Fri,2019-11-29,,Genk,,Sint-Truiden,,Luminus Arena,,,
17,Fri,2019-11-29,,Standard Liège,,Cercle Brugge,,Stade Maurice Dufrasne,,,
17,Fri,2019-11-29,,Kortrijk,,Gent,,Guldensporenstadion,,,
17,Fri,2019-11-29,,Charleroi,,Waasland-Bev,,Stade du Pays de Charleroi,,,
17,Fri,2019-11-29,,Zulte Waregem,,Eupen,,Regenboogstadion,,,
17,Fri,2019-11-29,,Club Brugge,,Excel Mouscron,,Jan Breydelstadion,,,
,,,,,,,,,,,
18,Fri,2019-12-06,,Cercle Brugge,,Genk,,Jan Breydelstadion,,,
18,Fri,2019-12-06,,Mechelen,,Kortrijk,,AFAS-stadion Achter de Kazerne,,,
18,Fri,2019-12-06,,Gent,,Zulte Waregem,,GHELAMCO-arena,,,
18,Fri,2019-12-06,,Sint-Truiden,,Club Brugge,,Stayen,,,
18,Fri,2019-12-06,,Waasland-Bev,,Antwerp,,Freethiel-Stadion,,,
18,Fri,2019-12-06,,Eupen,,Oostende,,Stadion am Kehrweg,,,
18,Fri,2019-12-06,,Anderlecht,,Charleroi,,Stade Constant Vanden Stock,,,
18,Fri,2019-12-06,,Excel Mouscron,,Standard Liège,,Stade Le Canonnier,,,
,,,,,,,,,,,
19,Fri,2019-12-13,,Oostende,,Gent,,Versluys Arena,,,
19,Fri,2019-12-13,,Antwerp,,Eupen,,Bosuilstadion,,,
19,Fri,2019-12-13,,Genk,,Waasland-Bev,,Luminus Arena,,,
19,Fri,2019-12-13,,Standard Liège,,Anderlecht,,Stade Maurice Dufrasne,,,
19,Fri,2019-12-13,,Zulte Waregem,,Sint-Truiden,,Regenboogstadion,,,
19,Fri,2019-12-13,,Charleroi,,Cercle Brugge,,Stade du Pays de Charleroi,,,
19,Fri,2019-12-13,,Kortrijk,,Excel Mouscron,,Guldensporenstadion,,,
19,Fri,2019-12-13,,Club Brugge,,Mechelen,,Jan Breydelstadion,,,
,,,,,,,,,,,
20,Fri,2019-12-20,,Sint-Truiden,,Antwerp,,Stayen,,,
20,Fri,2019-12-20,,Eupen,,Kortrijk,,Stadion am Kehrweg,,,
20,Fri,2019-12-20,,Waasland-Bev,,Standard Liège,,Freethiel-Stadion,,,
20,Fri,2019-12-20,,Gent,,Club Brugge,,GHELAMCO-arena,,,
20,Fri,2019-12-20,,Mechelen,,Oostende,,AFAS-stadion Achter de Kazerne,,,
20,Fri,2019-12-20,,Anderlecht,,Genk,,Stade Constant Vanden Stock,,,
20,Fri,2019-12-20,,Excel Mouscron,,Charleroi,,Stade Le Canonnier,,,
20,Fri,2019-12-20,,Cercle Brugge,,Zulte Waregem,,Jan Breydelstadion,,,
,,,,,,,,,,,
21,Thu,2019-12-26,,Genk,,Eupen,,Luminus Arena,,,
21,Thu,2019-12-26,,Kortrijk,,Cercle Brugge,,Guldensporenstadion,,,
21,Thu,2019-12-26,,Standard Liège,,Gent,,Stade Maurice Dufrasne,,,
21,Thu,2019-12-26,,Charleroi,,Oostende,,Stade du Pays de Charleroi,,,
21,Thu,2019-12-26,,Waasland-Bev,,Sint-Truiden,,Freethiel-Stadion,,,
21,Thu,2019-12-26,,Excel Mouscron,,Mechelen,,Stade Le Canonnier,,,
21,Thu,2019-12-26,,Club Brugge,,Zulte Waregem,,Jan Breydelstadion,,,
21,Thu,2019-12-26,,Antwerp,,Anderlecht,,Bosuilstadion,,,
,,,,,,,,,,,
22,Fri,2020-01-17,,Anderlecht,,Club Brugge,,Stade Constant Vanden Stock,,,
22,Fri,2020-01-17,,Cercle Brugge,,Antwerp,,Jan Breydelstadion,,,
22,Fri,2020-01-17,,Mechelen,,Standard Liège,,AFAS-stadion Achter de Kazerne,,,
22,Fri,2020-01-17,,Oostende,,Waasland-Bev,,Versluys Arena,,,
22,Fri,2020-01-17,,Gent,,Excel Mouscron,,GHELAMCO-arena,,,
22,Fri,2020-01-17,,Eupen,,Charleroi,,Stadion am Kehrweg,,,
22,Fri,2020-01-17,,Zulte Waregem,,Genk,,Regenboogstadion,,,
22,Fri,2020-01-17,,Sint-Truiden,,Kortrijk,,Stayen,,,
,,,,,,,,,,,
23,Fri,2020-01-24,,Charleroi,,Mechelen,,Stade du Pays de Charleroi,,,
23,Fri,2020-01-24,,Gent,,Genk,,GHELAMCO-arena,,,
23,Fri,2020-01-24,,Excel Mouscron,,Sint-Truiden,,Stade Le Canonnier,,,
23,Fri,2020-01-24,,Kortrijk,,Club Brugge,,Guldensporenstadion,,,
23,Fri,2020-01-24,,Cercle Brugge,,Anderlecht,,Jan Breydelstadion,,,
23,Fri,2020-01-24,,Waasland-Bev,,Eupen,,Freethiel-Stadion,,,
23,Fri,2020-01-24,,Standard Liège,,Oostende,,Stade Maurice Dufrasne,,,
23,Fri,2020-01-24,,Antwerp,,Zulte Waregem,,Bosuilstadion,,,
,,,,,,,,,,,
24,Fri,2020-01-31,,Anderlecht,,Excel Mouscron,,Stade Constant Vanden Stock,,,
24,Fri,2020-01-31,,Kortrijk,,Standard Liège,,Guldensporenstadion,,,
24,Fri,2020-01-31,,Genk,,Charleroi,,Luminus Arena,,,
