Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
8,Sat,2019-05-04,17:30 (11:30),Shanghai SIPG,2–0,Guangzhou R&F,20933,Shanghai Stadium,Taqi Aljaafari Jahari,Match Report,
8,Sat,2019-05-04,19:35 (13:35),Shandong Lunen,2–0,Hebei Fortune,20135,Jinan Olympic Sports Center Stadium,Huang Yejun,Match Report,
8,Sat,2019-05-04,19:35 (13:35),Guangzhou Evg,0–1,Beijing Guoan,45895,Tianhe Stadium,Mark Clattenburg,Match Report,
8,Sun,2019-05-05,15:30 (09:30),Beijing Renhe,1–2,Henan Jianye,5274,Beijing Fengtai Stadium,Zhang Lei,Match Report,
8,Sun,2019-05-05,19:35 (13:35),Jiangsu Suning,1–1,Dalian Yifang,20963,Nanjing Olympic Sports Center,Wang Zhe,Match Report,
8,Sun,2019-05-05,19:35 (13:35),Tianjin Tianhai,3–3,Chongqing SWM,20024,Tianjin Olympic Center Stadium,Wang Di,Match Report,
8,Sun,2019-05-05,19:35 (13:35),Shenzhen,2–1,Shanghai Shen,12165,Shenzhen Universiade Sports Centre,Milorad Mažić,Match Report,
,,,,,,,,,,,
9,Fri,2019-05-10,19:35 (13:35),Tianjin TEDA,1–1,Shanghai Shen,21860,Tianjin Olympic Center Stadium,Zhang Lei,Match Report,
9,Sat,2019-05-11,15:30 (09:30),Dalian Yifang,1–2,Wuhan Zall,24039,Dalian Sports Center,,Match Report,
9,Sat,2019-05-11,19:35 (13:35),Chongqing SWM,2–0,Beijing Renhe,32157,Chongqing Olympic Sports Center,,Match Report,
9,Sat,2019-05-11,19:35 (13:35),Hebei Fortune,2–3,Henan Jianye,17213,Langfang City Sports Center,,Match Report,
9,Sun,2019-05-12,15:30 (09:30),Tianjin Tianhai,1–2,Guangzhou R&F,10400,Tianjin Olympic Center Stadium,Jonathon Barreiro,Match Report,
9,Sun,2019-05-12,19:35 (13:35),Shanghai SIPG,2–1,Shandong Lunen,22093,Shanghai Stadium,Milorad Mažić,Match Report,
9,Sun,2019-05-12,19:35 (13:35),Beijing Guoan,3–0,Shenzhen,36892,Workers' Stadium,Ma Ning,Match Report,
9,Sun,2019-05-12,19:35 (13:35),Guangzhou Evg,2–2,Jiangsu Suning,46139,Tianhe Stadium,Petr Ardeleánu,Match Report,
,,,,,,,,,,,
10,Fri,2019-05-17,18:00 (12:00),Henan Jianye,0–1,Shanghai SIPG,20236,Zhengzhou Hanghai Stadium,Gu Chunhan,Match Report,
10,Fri,2019-05-17,19:35 (13:35),Wuhan Zall,2–3,Guangzhou Evg,23177,Wuhan Sports Center Stadium,Zhang Lei,Match Report,
10,Fri,2019-05-17,19:35 (13:35),Beijing Guoan,2–1,Tianjin Tianhai,37118,Workers' Stadium,Jonathon Barreiro,Match Report,
10,Fri,2019-05-17,20:00 (14:00),Shanghai Shen,1–3,Shandong Lunen,20146,Hongkou Stadium,Mark Clattenburg,Match Report,
10,Sat,2019-05-18,15:30 (09:30),Guangzhou R&F,3–1,Beijing Renhe,10828,Yuexiushan Stadium,Milorad Mažić,Match Report,
10,Sat,2019-05-18,19:35 (13:35),Jiangsu Suning,3–1,Chongqing SWM,30023,Nanjing Olympic Sports Center,Ai Kun,Match Report,
10,Sun,2019-05-19,15:30 (09:30),Tianjin TEDA,2–0,Hebei Fortune,11299,Tianjin Olympic Center Stadium,Li Haixin,Match Report,
10,Sun,2019-05-19,19:35 (13:35),Shenzhen,1–2,Dalian Yifang,16828,Shenzhen Universiade Sports Centre,Petr Ardeleánu,Match Report,
,,,,,,,,,,,
11,Fri,2019-05-24,19:35 (13:35),Chongqing SWM,0–0,Henan Jianye,28956,Chongqing Olympic Sports Center,,Match Report,
11,Sat,2019-05-25,15:30 (09:30),Beijing Renhe,2–1,Tianjin TEDA,5633,Beijing Fengtai Stadium,Ma Ning,Match Report,
11,Sat,2019-05-25,19:35 (13:35),Wuhan Zall,2–1,Tianjin Tianhai,15189,Tianjin Olympic Center Stadium,Milorad Mažić,Match Report,
11,Sat,2019-05-25,19:35 (13:35),Hebei Fortune,3–2,Jiangsu Suning,15219,Langfang City Sports Center,Shi Zhenlu,Match Report,
11,Sun,2019-05-26,15:30 (09:30),Dalian Yifang,1–0,Shanghai Shen,22619,Dalian Sports Center,Guan Xing,Match Report,
11,Sun,2019-05-26,17:30 (11:30),Guangzhou Evg,1–0,Shenzhen,46124,Tianhe Stadium,Mark Clattenburg,Match Report,
11,Sun,2019-05-26,19:35 (13:35),Shanghai SIPG,2–1,Beijing Guoan,20520,Shanghai Stadium,Matt Conger,Match Report,
11,Sun,2019-05-26,19:35 (13:35),Shandong Lunen,3–1,Guangzhou R&F,23703,Jinan Olympic Sports Center Stadium,Kurt Ams,Match Report,
,,,,,,,,,,,
12,Sat,2019-06-01,19:35 (13:35),Shanghai Shen,0–0,Chongqing SWM,21429,Hongkou Stadium,Li Haixin,Match Report,
12,Sat,2019-06-01,19:35 (13:35),Beijing Renhe,2–0,Tianjin Tianhai,8132,Beijing Fengtai Stadium,Mark Clattenburg,Match Report,
12,Sat,2019-06-01,19:35 (13:35),Guangzhou R&F,2–2,Hebei Fortune,9358,Yuexiushan Stadium,Wang Jin,Match Report,
12,Sat,2019-06-01,19:35 (13:35),Shandong Lunen,1–1,Jiangsu Suning,2684,Jinan Olympic Sports Center Stadium,Matt Conger,Match Report,
12,Sat,2019-06-01,19:35 (13:35),Wuhan Zall,2–0,Shenzhen,18137,Wuhan Sports Center Stadium,Zhang Lei,Match Report,
12,Sun,2019-06-02,15:00 (09:00),Dalian Yifang,1–2,Shanghai SIPG,26919,Dalian Sports Center,Ravshan Irmatov,Match Report,
12,Sun,2019-06-02,19:35 (13:35),Tianjin TEDA,1–2,Beijing Guoan,20460,Tianjin Olympic Center Stadium,Milorad Mažić,Match Report,
12,Sun,2019-06-02,19:35 (13:35),Henan Jianye,2–5,Guangzhou Evg,21936,Zhengzhou Hanghai Stadium,Ma Ning,Match Report,
,,,,,,,,,,,
4,Sat,2019-06-08,19:35 (13:35),Wuhan Zall,0–0,Henan Jianye,23758,Wuhan Sports Center Stadium,Wang Di,Match Report,
,,,,,,,,,,,
13,Fri,2019-06-14,18:00 (12:00),Beijing Guoan,2–1,Shanghai Shen,40418,Workers' Stadium,Mark Clattenburg,Match Report,
13,Fri,2019-06-14,19:35 (13:35),Chongqing SWM,1–1,Shandong Lunen,32186,Chongqing Olympic Sports Center,Ma Ning,Match Report,
13,Fri,2019-06-14,20:00 (14:00),Shanghai SIPG,0–2,Guangzhou Evg,25227,Shanghai Stadium,Milorad Mažić,Match Report,
13,Sat,2019-06-15,19:35 (13:35),Guangzhou R&F,3–4,Wuhan Zall,9189,Yuexiushan Stadium,Shi Zhenlu,Match Report,
13,Sat,2019-06-15,19:35 (13:35),Hebei Fortune,1–0,Dalian Yifang,18326,Langfang City Sports Center,Wang Zhe,Match Report,
