Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
8,Fri,2019-09-13,20:30,Jagiellonia,0–0,Legia Warsaw,19308,Stadion Miejski,Szymon Marciniak,Match Report,
8,Sat,2019-09-14,15:00,RKS Raków,2–0,Arka Gdynia,2511,Stadion Raków,Paweł Raczkowski,Match Report,
8,Sat,2019-09-14,17:30,Lechia Gdańsk,2–1,Lech Poznań,14008,Stadion Energa Gdańsk,Tomasz Kwiatkowski,Match Report,
8,Sat,2019-09-14,20:00,Korona Kielce,1–1,Wisła Kraków,7073,Kolporter Arena,Paweł Gil,Match Report,
8,Sun,2019-09-15,15:00,Pogoń Szczecin,,Łódzki KS,,Stadion Miejski im. Floriana Krygiera,,,
8,Sun,2019-09-15,17:30,Górnik Zabrze,,Śląsk Wrocław,,Arena Zabrze,,,
8,Mon,2019-09-16,18:00,Cracovia,,Piast Gliwice,,Stadion Cracovii,,,
,,,,,,,,,,,
4,Mon,2019-09-16,20:00,Wisła Płock,,Legia Warsaw,,Stadion im. Kazimierza Górskiego,,,
,,,,,,,,,,,
9,Fri,2019-09-20,18:00,Piast Gliwice,,RKS Raków,,Stadion Miejski,,,
9,Fri,2019-09-20,20:30,Lech Poznań,,Jagiellonia,,INEA stadion,,,
9,Sat,2019-09-21,15:00,Łódzki KS,,Arka Gdynia,,Stadion ŁKS-u,,,
9,Sat,2019-09-21,17:30,Lechia Gdańsk,,Korona Kielce,,Stadion Energa Gdańsk,,,
9,Sat,2019-09-21,20:00,Śląsk Wrocław,,Zagłębie Lubin,,Stadion Miejski,,,
9,Sun,2019-09-22,12:30,Wisła Płock,,Wisła Kraków,,Stadion Miejski im. Henryka Reymana,,,
9,Sun,2019-09-22,15:00,Pogoń Szczecin,,Górnik Zabrze,,Stadion Miejski im. Floriana Krygiera,,,
9,Sun,2019-09-22,17:30,Cracovia,,Legia Warsaw,,Stadion Cracovii,,,
,,,,,,,,,,,
10,Fri,2019-09-27,20:30,Korona Kielce,,Śląsk Wrocław,,Kolporter Arena,,,
10,Sat,2019-09-28,15:00,RKS Raków,,Wisła Płock,,Stadion Raków,,,
10,Sat,2019-09-28,17:30,Legia Warsaw,,Lechia Gdańsk,,Stadion Miejski Legii Warszawa im. Marsz...,,,
10,Sat,2019-09-28,20:00,Górnik Zabrze,,Lech Poznań,,Arena Zabrze,,,
10,Sun,2019-09-29,12:30,Arka Gdynia,,Piast Gliwice,,Stadion GOSiR,,,
10,Sun,2019-09-29,15:00,Jagiellonia,,Pogoń Szczecin,,Stadion Miejski,,,
10,Sun,2019-09-29,17:30,Wisła Kraków,,Cracovia,,Stadion Miejski im. Henryka Reymana,,,
10,Mon,2019-09-30,18:00,Zagłębie Lubin,,Łódzki KS,,Stadion Zagłębia Lubin,,,
,,,,,,,,,,,
11,Fri,2019-10-04,18:00,Wisła Płock,,Arka Gdynia,,Stadion Miejski im. Henryka Reymana,,,
11,Fri,2019-10-04,20:30,Śląsk Wrocław,,Jagiellonia,,Stadion Miejski,,,
11,Sat,2019-10-05,15:00,Pogoń Szczecin,,RKS Raków,,Stadion Miejski im. Floriana Krygiera,,,
11,Sat,2019-10-05,17:30,Lech Poznań,,Wisła Kraków,,INEA stadion,,,
11,Sat,2019-10-05,20:00,Lechia Gdańsk,,Zagłębie Lubin,,Stadion Energa Gdańsk,,,
11,Sun,2019-10-06,12:30,Łódzki KS,,Korona Kielce,,Stadion ŁKS-u,,,
11,Sun,2019-10-06,15:00,Cracovia,,Górnik Zabrze,,Stadion Cracovii,,,
11,Sun,2019-10-06,17:30,Piast Gliwice,,Legia Warsaw,,Stadion Miejski,,,
,,,,,,,,,,,
12,Sat,2019-10-19,,Wisła Kraków,,Piast Gliwice,,Stadion Miejski im. Henryka Reymana,,,
12,Sat,2019-10-19,,Górnik Zabrze,,Łódzki KS,,Arena Zabrze,,,
12,Sat,2019-10-19,,Zagłębie Lubin,,Pogoń Szczecin,,Stadion Zagłębia Lubin,,,
12,Sat,2019-10-19,,RKS Raków,,Śląsk Wrocław,,Stadion Raków,,,
12,Sat,2019-10-19,,Jagiellonia,,Cracovia,,Stadion Miejski,,,
12,Sat,2019-10-19,,Korona Kielce,,Wisła Płock,,Kolporter Arena,,,
12,Sat,2019-10-19,,Arka Gdynia,,Lechia Gdańsk,,Stadion GOSiR,,,
12,Sat,2019-10-19,,Legia Warsaw,,Lech Poznań,,Stadion Miejski Legii Warszawa im. Marsz...,,,
,,,,,,,,,,,
13,Sat,2019-10-26,,Lechia Gdańsk,,Górnik Zabrze,,Stadion Energa Gdańsk,,,
13,Sat,2019-10-26,,Śląsk Wrocław,,Arka Gdynia,,Stadion Miejski,,,
13,Sat,2019-10-26,,Cracovia,,Pogoń Szczecin,,Stadion Cracovii,,,
13,Sat,2019-10-26,,Legia Warsaw,,Wisła Kraków,,Stadion Miejski Legii Warszawa im. Marsz...,,,
13,Sat,2019-10-26,,Lech Poznań,,Zagłębie Lubin,,INEA stadion,,,
