Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
21,Sun,2020-03-08,,Zenit,,Ufa,,,,,
21,Sun,2020-03-08,,Loko Moscow,,Akhmat Grozny,,,,,
,,,,,,,,,,,
22,Sun,2020-03-15,,CSKA Moscow,,Ufa,,,,,
22,Sun,2020-03-15,,Arsenal Tula,,Rubin Kazan,,,,,
22,Sun,2020-03-15,,Tambov,,Samara,,,,,
22,Sun,2020-03-15,,Akhmat Grozny,,Dynamo Mosc,,,,,
22,Sun,2020-03-15,,FK Orenburg,,Spartak Moscow,,,,,
22,Sun,2020-03-15,,Rostov,,Loko Moscow,,,,,
22,Sun,2020-03-15,,Zenit,,Ural,,,,,
22,Sun,2020-03-15,,Sochi,,Krasnodar,,,,,
,,,,,,,,,,,
23,Sun,2020-03-22,,CSKA Moscow,,Zenit,,,,,
23,Sun,2020-03-22,,Samara,,Akhmat Grozny,,,,,
23,Sun,2020-03-22,,Krasnodar,,Dynamo Mosc,,,,,
23,Sun,2020-03-22,,Sochi,,Rostov,,,,,
23,Sun,2020-03-22,,Loko Moscow,,FK Orenburg,,,,,
23,Sun,2020-03-22,,Ural,,Rubin Kazan,,,,,
23,Sun,2020-03-22,,Arsenal Tula,,Spartak Moscow,,,,,
23,Sun,2020-03-22,,Ufa,,Tambov,,,,,
,,,,,,,,,,,
24,Sun,2020-04-05,,Zenit,,Samara,,,,,
24,Sun,2020-04-05,,Ural,,Tambov,,,,,
24,Sun,2020-04-05,,Rubin Kazan,,Loko Moscow,,,,,
24,Sun,2020-04-05,,FK Orenburg,,Krasnodar,,,,,
24,Sun,2020-04-05,,Rostov,,Arsenal Tula,,,,,
24,Sun,2020-04-05,,Dynamo Mosc,,CSKA Moscow,,,,,
24,Sun,2020-04-05,,Akhmat Grozny,,Sochi,,,,,
24,Sun,2020-04-05,,Spartak Moscow,,Ufa,,,,,
,,,,,,,,,,,
25,Sun,2020-04-12,,Rostov,,Krasnodar,,,,,
25,Sun,2020-04-12,,Ufa,,Rubin Kazan,,,,,
25,Sun,2020-04-12,,Arsenal Tula,,Akhmat Grozny,,,,,
25,Sun,2020-04-12,,Tambov,,Zenit,,,,,
25,Sun,2020-04-12,,Sochi,,Dynamo Mosc,,,,,
25,Sun,2020-04-12,,CSKA Moscow,,Spartak Moscow,,,,,
25,Sun,2020-04-12,,FK Orenburg,,Ural,,,,,
25,Sun,2020-04-12,,Loko Moscow,,Samara,,,,,
,,,,,,,,,,,
26,Sun,2020-04-19,,Loko Moscow,,Sochi,,,,,
26,Sun,2020-04-19,,Samara,,Rostov,,,,,
26,Sun,2020-04-19,,Spartak Moscow,,Tambov,,,,,
26,Sun,2020-04-19,,Rubin Kazan,,FK Orenburg,,,,,
26,Sun,2020-04-19,,Krasnodar,,Zenit,,,,,
26,Sun,2020-04-19,,Ufa,,Ural,,,,,
26,Sun,2020-04-19,,Dynamo Mosc,,Arsenal Tula,,,,,
26,Sun,2020-04-19,,Akhmat Grozny,,CSKA Moscow,,,,,
,,,,,,,,,,,
27,Sun,2020-04-26,,Ural,,Dynamo Mosc,,,,,
27,Sun,2020-04-26,,Rostov,,Ufa,,,,,
27,Sun,2020-04-26,,Arsenal Tula,,Samara,,,,,
27,Sun,2020-04-26,,Spartak Moscow,,Loko Moscow,,,,,
27,Sun,2020-04-26,,Rubin Kazan,,Krasnodar,,,,,
27,Sun,2020-04-26,,FK Orenburg,,CSKA Moscow,,,,,
27,Sun,2020-04-26,,Tambov,,Akhmat Grozny,,,,,
27,Sun,2020-04-26,,Zenit,,Sochi,,,,,
,,,,,,,,,,,
28,Sun,2020-05-03,,Akhmat Grozny,,Zenit,,,,,
28,Sun,2020-05-03,,Krasnodar,,Ural,,,,,
28,Sun,2020-05-03,,CSKA Moscow,,Rubin Kazan,,,,,
28,Sun,2020-05-03,,Loko Moscow,,Ufa,,,,,
28,Sun,2020-05-03,,Sochi,,Spartak Moscow,,,,,
28,Sun,2020-05-03,,FK Orenburg,,Rostov,,,,,
28,Sun,2020-05-03,,Dynamo Mosc,,Samara,,,,,
28,Sun,2020-05-03,,Arsenal Tula,,Tambov,,,,,
,,,,,,,,,,,
29,Sun,2020-05-10,,Ural,,Arsenal Tula,,,,,
29,Sun,2020-05-10,,Spartak Moscow,,Akhmat Grozny,,,,,
29,Sun,2020-05-10,,Tambov,,Sochi,,,,,
29,Sun,2020-05-10,,Rubin Kazan,,Rostov,,,,,
29,Sun,2020-05-10,,Ufa,,Dynamo Mosc,,,,,
29,Sun,2020-05-10,,Loko Moscow,,CSKA Moscow,,,,,
29,Sun,2020-05-10,,Samara,,Krasnodar,,,,,
29,Sun,2020-05-10,,Zenit,,FK Orenburg,,,,,
,,,,,,,,,,,
30,Sun,2020-05-17,,Samara,,Sochi,,,,,
30,Sun,2020-05-17,,Dynamo Mosc,,FK Orenburg,,,,,
30,Sun,2020-05-17,,Rubin Kazan,,Spartak Moscow,,,,,
30,Sun,2020-05-17,,Krasnodar,,Akhmat Grozny,,,,,
30,Sun,2020-05-17,,Ural,,Loko Moscow,,,,,
30,Sun,2020-05-17,,Rostov,,Zenit,,,,,
30,Sun,2020-05-17,,Ufa,,Arsenal Tula,,,,,
30,Sun,2020-05-17,,CSKA Moscow,,Tambov,,,,,
