Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group Stage,4,Thu,2019-11-07,20:00 (21:00),Wolves eng,,sk Sl. Bratislava,,,,,
Group Stage,4,Thu,2019-11-07,20:00 (21:00),Manchester Utd eng,,rs Partizan,,,,,
Group Stage,4,Thu,2019-11-07,20:00 (21:00),Rangers sco,,pt Porto,,,,,
Group Stage,4,Thu,2019-11-07,20:55 (18:55),Krasnodar ru,,tr Trabzonspor,,,,,
Group Stage,4,Thu,2019-11-07,21:00,Feyenoord nl,,ch Young Boys,,,,,
Group Stage,4,Thu,2019-11-07,21:00,Ferencváros hu,,ru CSKA Moscow,,,,,
Group Stage,4,Thu,2019-11-07,21:00,Wolfsburg de,,be Gent,,,,,
Group Stage,4,Thu,2019-11-07,21:00,M'gladbach de,,it Roma,,,,,
Group Stage,4,Thu,2019-11-07,21:00,Wolfsberger AC at,,tr Başakşehir,,,,,
Group Stage,4,Thu,2019-11-07,21:00,Espanyol es,,bg Ludogorets,,,,,
Group Stage,4,Thu,2019-11-07,22:00 (21:00),FC Oleksandriya ua,,fr Saint-Étienne,,,,,
,,,,,,,,,,,,
Group Stage,5,Wed,2019-11-27,15:50 (16:50),Vitória pt,,be Standard Liège,,,,,
Group Stage,5,Thu,2019-11-28,17:55 (18:55),Braga pt,,eng Wolves,,,,,
Group Stage,5,Thu,2019-11-28,18:50 (16:50),Trabzonspor tr,,es Getafe,,,,,
Group Stage,5,Thu,2019-11-28,18:50 (16:50),Krasnodar ru,,ch Basel,,,,,
Group Stage,5,Thu,2019-11-28,18:55,Feyenoord nl,,sco Rangers,,,,,
Group Stage,5,Thu,2019-11-28,18:55,Saint-Étienne fr,,be Gent,,,,,
Group Stage,5,Thu,2019-11-28,18:55,Wolfsberger AC at,,de M'gladbach,,,,,
Group Stage,5,Thu,2019-11-28,18:55,Young Boys ch,,pt Porto,,,,,
Group Stage,5,Thu,2019-11-28,18:55,Ferencváros hu,,es Espanyol,,,,,
Group Stage,5,Thu,2019-11-28,18:55,AZ Alkmaar nl,,rs Partizan,,,,,
Group Stage,5,Thu,2019-11-28,19:55 (18:55),FC Oleksandriya ua,,de Wolfsburg,,,,,
Group Stage,5,Thu,2019-11-28,20:00 (21:00),Sporting CP pt,,nl PSV Eindhoven,,,,,
Group Stage,5,Thu,2019-11-28,20:00 (21:00),Celtic sco,,fr Rennes,,,,,
Group Stage,5,Thu,2019-11-28,20:00 (21:00),Arsenal eng,,de Eint Frankfurt,,,,,
Group Stage,5,Thu,2019-11-28,20:55 (18:55),Başakşehir tr,,it Roma,,,,,
Group Stage,5,Thu,2019-11-28,20:55 (18:55),CSKA Moscow ru,,bg Ludogorets,,,,,
Group Stage,5,Thu,2019-11-28,20:55 (18:55),Beşiktaş tr,,sk Sl. Bratislava,,,,,
Group Stage,5,Thu,2019-11-28,21:00,Sevilla es,,az Qarabağ Ağdam,,,,,
Group Stage,5,Thu,2019-11-28,21:00,Lugano ch,,dk FC Copenhagen,,,,,
Group Stage,5,Thu,2019-11-28,21:00,Rosenborg no,,at LASK Linz,,,,,
Group Stage,5,Thu,2019-11-28,21:00,Lazio it,,ro CFR Cluj,,,,,
Group Stage,5,Thu,2019-11-28,21:00,Malmö se,,ua Dynamo Kyiv,,,,,
Group Stage,5,Thu,2019-11-28,21:00,F91 Dudelange lu,,cy APOEL,,,,,
,,,,,,,,,,,,
Group Stage,6,Thu,2019-12-12,18:55,FC Copenhagen dk,,se Malmö,,,,,
Group Stage,6,Thu,2019-12-12,18:55,PSV Eindhoven nl,,no Rosenborg,,,,,
Group Stage,6,Thu,2019-12-12,18:55,Rennes fr,,it Lazio,,,,,
Group Stage,6,Thu,2019-12-12,18:55,LASK Linz at,,pt Sporting CP,,,,,
