#######################################################
#
#  uefa clubs 10-year ranking / coefficients
#    see https://www.uefa.com/memberassociations/uefarankings/revenue/
#

Rank,  Name,     Country
412, Fola, LUX
413, Vikingur, FRO
414, Differdange, LUX
415, Domžale, SVN
416, Rudar Velenje, SVN
417, Gorica, SVN
418, Koper, SVN
419, Celje, SVN
420, Mura, SVN
421, IB Ljubljana, SVN
422, Široki Brijeg, BIH
423, Cliftonville, NIR
424, Birkirkara, MLT
425, Alashkert, ARM
426, Honvéd, HUN
427, Milsami, MDA
428, Rudar Pljevlja, MNE
429, Zestafoni, GEO
430, Újpest, HUN
431, Ferencváros, HUN
432, Vasas, HUN
433, MTK, HUN
434, Diósgyőr, HUN
435, Győr, HUN
436, Paks, HUN
437, Kecskemét, HUN
438, Zalaegerszeg, HUN
439, Haladás, HUN
440, Lincoln Red Imps, GIB
441, Stjarnan, ISL
442, Sutjeska, MNE
443, Dila, GEO
444, HB, FRO
445, Titograd, MNE
446, Dacia, MDA
447, Spartaks Jūrmala, LVA
448, Cork, IRL
449, B36, FRO
450, Zaria Balti, MDA
451, Petrocub, MDA
452, Zimbru, MDA
453, Saxan, MDA
454, Tiraspol, MDA
455, Veris, MDA
456, Iskra-Stal, MDA
457, Zaria, MDA
458, Eschen/Mauren, LIE
459, La Fiorita, SMR
460, Chikhura, GEO
461, Hibernians, MLT
462, Torpedo Kutaisi, GEO
463, Riteriai, LTU
464, Derry, NIR     # note: changed IRL to NIR
465, Sant Julià, AND
466, Bangor, WAL
467, Skonto, LVA
468, Sligo, IRL
469, Partizani, ALB
470, Shirak, ARM
471, EB/Streymur, FRO
472, Metalurgi Rustavi, GEO
473, Samtredia, GEO
474, Dinamo Batumi, GEO
475, Tskhinvali, GEO
475, Sloboda, BIH
475, Olimpic Sarajevo, BIH
475, Radnik Bijeljina, BIH
479, Sioni, GEO
480, Borac, BIH
481, Gagra, GEO
482, WIT Georgia, GEO
483, Slavija, BIH
484, Lahti, FIN
485, KuPS, FIN
486, Ilves, FIN
487, Mariehamn, FIN
488, VPS, FIN
489, SJK, FIN
490, RoPS, FIN
491, MYPA, FIN
492, Honka, FIN
493, Inter Turku, FIN
494, TPS, FIN
495, JJK, FIN
496, Valur, ISL
497, ÍBV, ISL
498, Breidablik, ISL
499, Víkingur Reykjavík, ISL
500, Fram, ISL
