#######################################################
#
#  uefa clubs ranking / coefficients
#    see https://www.uefa.com/memberassociations/uefarankings/club/#/yr/2019
#
#  check all 450 names
#   country code is fifa code ??
#    - check all countries / check country lookup by fifa code - why? why not?
#   config.countries[ 'ESP' ]
#    -- add countries lookup
#      check if key is all lowercase? - use key
#      check if key is all uppercase and three letters - use fifa code
#      change countries to back to fifa code!!!

Rank,  Name,     Country
375, FC Shirak, ARM
376, KF Tirana, ALB
377, HB Tórshavn, FRO
378, KF Teuta, ALB
379, KS Flamurtari, ALB
380, University College Dublin AFC, IRL
381, Sligo Rovers FC, IRL
382, FC Lahti, FIN
383, KuPS Kuopio, FIN
383, Ilves Tampere, FIN
385, IFK Mariehamn, FIN
386, VPS Vaasa, FIN
387, RoPS Rovaniemi, FIN
388, Myllykosken Pallo -47, FIN
389, FC Honka Espoo, FIN
390, ÍBV Vestmannaeyjar, ISL
391, Breidablik, ISL
392, Víkingur Reykjavík, ISL
393, Fram Reykjavík, ISL
394, FK Sloboda Tuzla, BIH
394, FK Radnik Bijeljina, BIH
396, FK Olimpic Sarajevo, BIH
397, FC Stumbras, LTU
398, FK Atlantas, LTU
399, FK Kruoja, LTU
400, FK Ekranas, LTU
400, FK Banga, LTU
402, Coleraine FC, NIR
402, KÍ Klaksvík, FRO
402, FC Gandzasar, ARM
402, FC Prishtina, KOS
406, Bala Town FC, WAL
407, UE Sant Julià, AND
408, FC Differdange 03, LUX
409, FC Dila Gori, GEO
410, Riga FC, LVA
411, Skonto FC, LVA
412, FC Daugava Daugavpils, LVA
412, FC Daugava Rīga, LVA
414, Racing FC Union Lëtzebuerg, LUX
415, AS Jeunesse Esch, LUX
416, Ulisses FC, ARM
417, FC Mika, ARM
418, Gżira United FC, MLT
419, Floriana FC, MLT
420, Sliema Wanderers FC, MLT
421, SP Tre Fiori, SMR
421, JK Narva Trans, EST
421, UE Engordany, AND
424, FCI Tallinn, EST
425, JK Sillamäe Kalev, EST
426, FC Santos Tartu, EST
427, FC Dinamo Batumi, GEO
428, FC Tskhinvali, GEO
429, FC Zestafoni, GEO
430, FC Sioni Bolnisi, GEO
431, Cefn Druids AFC, WAL
432, Bangor City FC, WAL
433, FK Zeta, MNE
434, Llandudno FC, WAL
434, FK Bokelj, MNE
436, Newtown AFC, WAL
437, AUK Broughton FC, WAL
438, Aberystwyth Town FC, WAL
438, FK Lovćen, MNE
438, FK Čelik Nikšić, MNE
441, St Joseph's FC, GIB
442, ÍF Fuglafjørdur, FRO
443, Ballymena United FC, NIR
444, Glentoran FC, NIR
445, SP Tre Penne, SMR
446, UE Santa Coloma, AND
447, KF Trepça'89, KOS
448, FC Lusitans, AND
449, AC Juvenes/Dogana, SMR
450, AC Libertas, SMR
